PassengerId,Survived,Pclass,Name,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked,Ticket_Count,Fare_PerPassenger,NameTitle,NumFamily,CompleteInfo,CabinLetter,CabinNumber,CabinLetter_Cohort,CabinLetter_Cohort_DT,CabinLetter_Cohort_ECLF,CabinNumber_Group
1,0,3,"Braund, Mr. Owen Harris",0,22.0,1,0,A/5 21171,7.25,,S,1,7.25,Mr,1,0,,,,4,4,
2,1,1,"Cumings, Mrs. John Bradley (Florence Briggs Thayer)",1,38.0,1,0,PC 17599,71.2833,C85,C,1,71.2833,Mrs,1,1,C,85,2,2,2,0.833
3,1,3,"Heikkinen, Miss. Laina",1,26.0,0,0,STON/O2. 3101282,7.925,,S,1,7.925,Miss,0,0,,,,4,4,
4,1,1,"Futrelle, Mrs. Jacques Heath (Lily May Peel)",1,35.0,1,0,113803,53.1,C123,S,2,26.55,Mrs,1,1,C,123,2,2,2,1.0
5,0,3,"Allen, Mr. William Henry",0,35.0,0,0,373450,8.05,,S,1,8.05,Mr,0,0,,,,4,4,
6,0,3,"Moran, Mr. James",0,24.07,0,0,330877,8.4583,,Q,1,8.4583,Mr,0,0,,,,4,4,
7,0,1,"McCarthy, Mr. Timothy J",0,54.0,0,0,17463,51.8625,E46,S,1,51.8625,Mr,0,1,E,46,4,4,4,0.667
8,0,3,"Palsson, Master. Gosta Leonard",0,2.0,3,1,349909,21.075,,S,4,5.26875,Master,4,0,,,,4,4,
9,1,3,"Johnson, Mrs. Oscar W (Elisabeth Vilhelmina Berg)",1,27.0,0,2,347742,11.1333,,S,3,3.7111,Mrs,2,0,,,,4,4,
10,1,2,"Nasser, Mrs. Nicholas (Adele Achem)",1,14.0,1,0,237736,30.0708,,C,2,15.0354,Mrs,1,0,,,,3,3,
11,1,3,"Sandstrom, Miss. Marguerite Rut",1,4.0,1,1,PP 9549,16.7,G6,S,2,8.35,Miss,2,1,G,6,,4,4,0.167
12,1,1,"Bonnell, Miss. Elizabeth",1,58.0,0,0,113783,26.55,C103,S,1,26.55,Miss,0,1,C,103,2,2,2,1.0
13,0,3,"Saundercock, Mr. William Henry",0,20.0,0,0,A/5. 2151,8.05,,S,1,8.05,Mr,0,0,,,,4,4,
14,0,3,"Andersson, Mr. Anders Johan",0,39.0,1,5,347082,31.275,,S,7,4.4678571428571425,Mr,6,0,,,,4,4,
15,0,3,"Vestrom, Miss. Hulda Amanda Adolfina",1,14.0,0,0,350406,7.8542,,S,1,7.8542,Miss,0,0,,,,4,4,
16,1,2,"Hewlett, Mrs. (Mary D Kingcome) ",1,55.0,0,0,248706,16.0,,S,1,16.0,Mrs,0,0,,,,3,3,
17,0,3,"Rice, Master. Eugene",0,2.0,4,1,382652,29.125,,Q,5,5.825,Master,5,0,,,,4,4,
18,1,2,"Williams, Mr. Charles Eugene",0,31.770852585193243,0,0,244373,13.0,,S,1,13.0,Mr,0,0,,,,3,3,
19,0,3,"Vander Planke, Mrs. Julius (Emelia Maria Vandemoortele)",1,31.0,1,0,345763,18.0,,S,1,18.0,Mrs,1,0,,,,3,3,
20,1,3,"Masselmani, Mrs. Fatima",1,34.99314285714285,0,0,2649,7.225,,C,1,7.225,Mrs,0,0,,,,4,4,
21,0,2,"Fynney, Mr. Joseph J",0,35.0,0,0,239865,26.0,,S,2,13.0,Mr,0,0,,,,3,3,
22,1,2,"Beesley, Mr. Lawrence",0,34.0,0,0,248698,13.0,D56,S,1,13.0,Mr,0,1,D,56,3,3,3,0.667
23,1,3,"McGowan, Miss. Anna ""Annie""",1,15.0,0,0,330923,8.0292,,Q,1,8.0292,Miss,0,0,,,,4,4,
24,1,1,"Sloper, Mr. William Thompson",0,28.0,0,0,113788,35.5,A6,S,1,35.5,Mr,0,1,A,6,,2,2,0.167
25,0,3,"Palsson, Miss. Torborg Danira",1,8.0,3,1,349909,21.075,,S,4,5.26875,Miss,4,0,,,,4,4,
26,1,3,"Asplund, Mrs. Carl Oscar (Selma Augusta Emilia Johansson)",1,38.0,1,5,347077,31.3875,,S,4,7.846875,Mrs,6,0,,,,4,4,
27,0,3,"Emir, Mr. Farred Chehab",0,32.72380753968253,0,0,2631,7.225,,C,1,7.225,Mr,0,0,,,,4,4,
28,0,1,"Fortune, Mr. Charles Alexander",0,19.0,3,2,19950,263.0,C23 C25 C27,S,4,65.75,Mr,5,1,C,25,2,2,2,0.333
29,1,3,"O'Dwyer, Miss. Ellen ""Nellie""",1,21.496166666666667,0,0,330959,7.8792,,Q,1,7.8792,Miss,0,0,,,,4,4,
30,0,3,"Todoroff, Mr. Lalio",0,27.960240524614342,0,0,349216,7.8958,,S,1,7.8958,Mr,0,0,,,,4,4,
31,0,1,"Uruchurtu, Don. Manuel E",0,40.0,0,0,PC 17601,27.7208,,C,1,27.7208,Don,0,0,,,,4,2,
32,1,1,"Spencer, Mrs. William Augustus (Marie Eugenie)",1,45.75,1,0,PC 17569,146.5208,B78,C,2,73.2604,Mrs,1,0,B,78,1,1,1,0.833
33,1,3,"Glynn, Miss. Mary Agatha",1,26.05045508658009,0,0,335677,7.75,,Q,1,7.75,Miss,0,0,,,,4,4,
34,0,2,"Wheadon, Mr. Edward H",0,66.0,0,0,C.A. 24579,10.5,,S,1,10.5,Mr,0,0,,,,4,4,
35,0,1,"Meyer, Mr. Edgar Joseph",0,28.0,1,0,PC 17604,82.1708,,C,2,41.0854,Mr,1,0,,,,2,2,
36,0,1,"Holverson, Mr. Alexander Oskar",0,42.0,1,0,113789,52.0,,S,2,26.0,Mr,1,0,,,,2,2,
37,1,3,"Mamee, Mr. Hanna",0,24.660543650793652,0,0,2677,7.2292,,C,1,7.2292,Mr,0,0,,,,4,4,
38,0,3,"Cann, Mr. Ernest Charles",0,21.0,0,0,A./5. 2152,8.05,,S,1,8.05,Mr,0,0,,,,4,4,
39,0,3,"Vander Planke, Miss. Augusta Maria",1,18.0,2,0,345764,18.0,,S,2,9.0,Miss,2,0,,,,4,4,
40,1,3,"Nicola-Yarred, Miss. Jamila",1,14.0,1,0,2651,11.2417,,C,2,5.62085,Miss,1,0,,,,4,4,
41,0,3,"Ahlin, Mrs. Johan (Johanna Persdotter Larsson)",1,40.0,1,0,7546,9.475,,S,1,9.475,Mrs,1,0,,,,4,4,
42,0,2,"Turpin, Mrs. William John Robert (Dorothy Ann Wonnacott)",1,27.0,1,0,11668,21.0,,S,2,10.5,Mrs,1,0,,,,4,4,
43,0,3,"Kraeff, Mr. Theodor",0,27.960240524614342,0,0,349253,7.8958,,C,1,7.8958,Mr,0,0,,,,4,4,
44,1,2,"Laroche, Miss. Simonne Marie Anne Andree",1,3.0,1,2,SC/Paris 2123,41.5792,,C,3,13.859733333333333,Miss,3,0,,,,3,3,
45,1,3,"Devaney, Miss. Margaret Delia",1,19.0,0,0,330958,7.8792,,Q,1,7.8792,Miss,0,0,,,,4,4,
46,0,3,"Rogers, Mr. William John",0,30.407091360383024,0,0,S.C./A.4. 23567,8.05,,S,1,8.05,Mr,0,0,,,,4,4,
47,0,3,"Lennon, Mr. Denis",0,31.2,1,0,370371,15.5,,Q,1,15.5,Mr,1,0,,,,3,3,
48,1,3,"O'Driscoll, Miss. Bridget",1,26.05045508658009,0,0,14311,7.75,,Q,1,7.75,Miss,0,0,,,,4,4,
49,0,3,"Samaan, Mr. Youssef",0,35.33678571428572,2,0,2662,21.6792,,C,1,21.6792,Mr,2,0,,,,3,3,
50,0,3,"Arnold-Franchi, Mrs. Josef (Josefine Franchi)",1,18.0,1,0,349237,17.8,,S,2,8.9,Mrs,1,0,,,,4,4,
51,0,3,"Panula, Master. Juha Niilo",0,7.0,4,1,3101295,39.6875,,S,6,6.614583333333333,Master,5,0,,,,4,4,
52,0,3,"Nosworthy, Mr. Richard Cater",0,21.0,0,0,A/4. 39886,7.8,,S,1,7.8,Mr,0,0,,,,4,4,
53,1,1,"Harper, Mrs. Henry Sleeper (Myna Haxtun)",1,49.0,1,0,PC 17572,76.7292,D33,C,3,25.576400000000003,Mrs,1,1,D,33,3,3,3,0.5
54,1,2,"Faunthorpe, Mrs. Lizzie (Elizabeth Anne Wilkinson)",1,29.0,1,0,2926,26.0,,S,1,26.0,Mrs,1,0,,,,2,2,
55,0,1,"Ostby, Mr. Engelhart Cornelius",0,65.0,0,1,113509,61.9792,B30,C,1,61.9792,Mr,1,1,B,30,1,1,1,0.5
56,1,1,"Woolner, Mr. Hugh",0,39.17416666666666,0,0,19947,35.5,C52,S,1,35.5,Mr,0,0,C,52,2,2,2,0.667
57,1,2,"Rugg, Miss. Emily",1,21.0,0,0,C.A. 31026,10.5,,S,1,10.5,Miss,0,0,,,,4,4,
58,0,3,"Novel, Mr. Mansouer",0,28.5,0,0,2697,7.2292,,C,1,7.2292,Mr,0,0,,,,4,4,
59,1,2,"West, Miss. Constance Mirium",1,5.0,1,2,C.A. 34651,27.75,,S,3,9.25,Miss,3,0,,,,4,4,
60,0,3,"Goodwin, Master. William Frederick",0,11.0,5,2,CA 2144,46.9,,S,6,7.816666666666666,Master,7,0,,,,4,4,
61,0,3,"Sirayanian, Mr. Orsen",0,22.0,0,0,2669,7.2292,,C,1,7.2292,Mr,0,0,,,,4,4,
62,1,1,"Icard, Miss. Amelie",1,38.0,0,0,113572,80.0,B28,S,2,40.0,Miss,0,0,B,28,1,1,1,0.333
63,0,1,"Harris, Mr. Henry Birkhardt",0,45.0,1,0,36973,83.475,C83,S,2,41.7375,Mr,1,1,C,83,2,2,2,0.833
64,0,3,"Skoog, Master. Harald",0,4.0,3,2,347088,27.9,,S,6,4.6499999999999995,Master,5,0,,,,4,4,
65,0,1,"Stewart, Mr. Albert A",0,38.16155337717838,0,0,PC 17605,27.7208,,C,1,27.7208,Mr,0,0,,,,4,2,
66,1,3,"Moubarek, Master. Gerios",0,6.064933333333333,1,1,2661,15.2458,,C,2,7.6229,Master,2,0,,,,4,4,
67,1,2,"Nye, Mrs. (Elizabeth Ramell)",1,29.0,0,0,C.A. 29395,10.5,F33,S,1,10.5,Mrs,0,1,F,33,,4,4,0.5
68,0,3,"Crease, Mr. Ernest James",0,19.0,0,0,S.P. 3464,8.1583,,S,1,8.1583,Mr,0,0,,,,4,4,
69,1,3,"Andersson, Miss. Erna Alexandra",1,17.0,4,2,3101281,7.925,,S,1,7.925,Miss,6,0,,,,4,4,
70,0,3,"Kink, Mr. Vincenz",0,26.0,2,0,315151,8.6625,,S,1,8.6625,Mr,2,0,,,,4,4,
71,0,2,"Jenkin, Mr. Stephen Curnow",0,32.0,0,0,C.A. 33111,10.5,,S,1,10.5,Mr,0,0,,,,4,4,
72,0,3,"Goodwin, Miss. Lillian Amy",1,16.0,5,2,CA 2144,46.9,,S,6,7.816666666666666,Miss,7,0,,,,4,4,
73,0,2,"Hood, Mr. Ambrose Jr",0,21.0,0,0,S.O.C. 14879,73.5,,S,5,14.7,Mr,0,0,,,,3,3,
74,0,3,"Chronopoulos, Mr. Apostolos",0,26.0,1,0,2680,14.4542,,C,1,14.4542,Mr,1,0,,,,3,3,
75,1,3,"Bing, Mr. Lee",0,32.0,0,0,1601,56.4958,,S,7,8.070828571428573,Mr,0,0,,,,4,4,
76,0,3,"Moen, Mr. Sigurd Hansen",0,25.0,0,0,348123,7.65,F G73,S,1,7.65,Mr,0,1,GF,73,,4,4,0.833
77,0,3,"Staneff, Mr. Ivan",0,27.960240524614342,0,0,349208,7.8958,,S,1,7.8958,Mr,0,0,,,,4,4,
78,0,3,"Moutal, Mr. Rahamin Haim",0,30.407091360383024,0,0,374746,8.05,,S,1,8.05,Mr,0,0,,,,4,4,
79,1,2,"Caldwell, Master. Alden Gates",0,0.83,0,2,248738,29.0,,S,2,14.5,Master,2,0,,,,3,3,
80,1,3,"Dowdell, Miss. Elizabeth",1,30.0,0,0,364516,12.475,,S,2,6.2375,Miss,0,0,,,,4,4,
81,0,3,"Waelens, Mr. Achille",0,22.0,0,0,345767,9.0,,S,1,9.0,Mr,0,0,,,,4,4,
82,1,3,"Sheerlinck, Mr. Jan Baptist",0,29.0,0,0,345779,9.5,,S,1,9.5,Mr,0,0,,,,4,4,
83,1,3,"McDermott, Miss. Brigdet Delia",1,21.659880952380956,0,0,330932,7.7875,,Q,1,7.7875,Miss,0,0,,,,4,4,
84,0,1,"Carrau, Mr. Francisco M",0,28.0,0,0,113059,47.1,,S,1,47.1,Mr,0,0,,,,2,2,
85,1,2,"Ilett, Miss. Bertha",1,17.0,0,0,SO/C 14885,10.5,,S,1,10.5,Miss,0,0,,,,4,4,
86,1,3,"Backstrom, Mrs. Karl Alfred (Maria Mathilda Gustafsson)",1,33.0,3,0,3101278,15.85,,S,2,7.925,Mrs,3,0,,,,4,4,
87,0,3,"Ford, Mr. William Neal",0,16.0,1,3,W./C. 6608,34.375,,S,4,8.59375,Mr,4,0,,,,4,4,
88,0,3,"Slocovski, Mr. Selman Francis",0,30.407091360383024,0,0,SOTON/OQ 392086,8.05,,S,1,8.05,Mr,0,0,,,,4,4,
89,1,1,"Fortune, Miss. Mabel Helen",1,23.0,3,2,19950,263.0,C23 C25 C27,S,4,65.75,Miss,5,1,C,25,2,2,2,0.333
90,0,3,"Celotti, Mr. Francesco",0,24.0,0,0,343275,8.05,,S,1,8.05,Mr,0,0,,,,4,4,
91,0,3,"Christmann, Mr. Emil",0,29.0,0,0,343276,8.05,,S,1,8.05,Mr,0,0,,,,4,4,
92,0,3,"Andreasson, Mr. Paul Edvin",0,20.0,0,0,347466,7.8542,,S,1,7.8542,Mr,0,0,,,,4,4,
93,0,1,"Chaffee, Mr. Herbert Fuller",0,46.0,1,0,W.E.P. 5734,61.175,E31,S,1,61.175,Mr,1,1,E,31,4,4,4,0.5
94,0,3,"Dean, Mr. Bertram Frank",0,26.0,1,2,C.A. 2315,20.575,,S,2,10.2875,Mr,3,0,,,,4,4,
95,0,3,"Coxon, Mr. Daniel",0,59.0,0,0,364500,7.25,,S,1,7.25,Mr,0,0,,,,4,4,
96,0,3,"Shorney, Mr. Charles Joseph",0,30.407091360383024,0,0,374910,8.05,,S,1,8.05,Mr,0,0,,,,4,4,
97,0,1,"Goldschmidt, Mr. George B",0,71.0,0,0,PC 17754,34.6542,A5,C,1,34.6542,Mr,0,1,A,5,,2,1,0.167
98,1,1,"Greenfield, Mr. William Bertram",0,23.0,0,1,PC 17759,63.3583,D10 D12,C,1,63.3583,Mr,1,1,D,11,3,3,3,0.167
99,1,2,"Doling, Mrs. John T (Ada Julia Bone)",1,34.0,0,1,231919,23.0,,S,2,11.5,Mrs,1,0,,,,4,4,
100,0,2,"Kantor, Mr. Sinai",0,34.0,1,0,244367,26.0,,S,2,13.0,Mr,1,0,,,,3,3,
101,0,3,"Petranec, Miss. Matilda",1,28.0,0,0,349245,7.8958,,S,1,7.8958,Miss,0,0,,,,4,4,
102,0,3,"Petroff, Mr. Pastcho (""Pentcho"")",0,27.960240524614342,0,0,349215,7.8958,,S,1,7.8958,Mr,0,0,,,,4,4,
103,0,1,"White, Mr. Richard Frasar",0,21.0,0,1,35281,77.2875,D26,S,2,38.64375,Mr,1,1,D,26,3,3,3,0.333
104,0,3,"Johansson, Mr. Gustaf Joel",0,33.0,0,0,7540,8.6542,,S,1,8.6542,Mr,0,0,,,,4,4,
105,0,3,"Gustafsson, Mr. Anders Vilhelm",0,37.0,2,0,3101276,7.925,,S,1,7.925,Mr,2,0,,,,4,4,
106,0,3,"Mionoff, Mr. Stoytcho",0,28.0,0,0,349207,7.8958,,S,1,7.8958,Mr,0,0,,,,4,4,
107,1,3,"Salkjelsvik, Miss. Anna Kristine",1,21.0,0,0,343120,7.65,,S,1,7.65,Miss,0,0,,,,4,4,
108,1,3,"Moss, Mr. Albert Johan",0,29.837528887778895,0,0,312991,7.775,,S,1,7.775,Mr,0,0,,,,4,4,
109,0,3,"Rekic, Mr. Tido",0,38.0,0,0,349249,7.8958,,S,1,7.8958,Mr,0,0,,,,4,4,
110,1,3,"Moran, Miss. Bertha",1,17.997666666666664,1,0,371110,24.15,,Q,3,8.049999999999999,Miss,1,0,,,,4,4,
111,0,1,"Porter, Mr. Walter Chamberlain",0,47.0,0,0,110465,52.0,C110,S,2,26.0,Mr,0,1,C,110,2,2,2,1.0
112,0,3,"Zabour, Miss. Hileni",1,14.5,1,0,2665,14.4542,,C,2,7.2271,Miss,1,0,,,,4,4,
113,0,3,"Barton, Mr. David John",0,22.0,0,0,324669,8.05,,S,1,8.05,Mr,0,0,,,,4,4,
114,0,3,"Jussila, Miss. Katriina",1,20.0,1,0,4136,9.825,,S,1,9.825,Miss,1,0,,,,4,4,
115,0,3,"Attalah, Miss. Malake",1,17.0,0,0,2627,14.4583,,C,2,7.22915,Miss,0,0,,,,4,4,
116,0,3,"Pekoniemi, Mr. Edvard",0,21.0,0,0,STON/O 2. 3101294,7.925,,S,1,7.925,Mr,0,0,,,,4,4,
117,0,3,"Connors, Mr. Patrick",0,70.5,0,0,370369,7.75,,Q,1,7.75,Mr,0,0,,,,4,4,
118,0,2,"Turpin, Mr. William John Robert",0,29.0,1,0,11668,21.0,,S,2,10.5,Mr,1,0,,,,4,4,
119,0,1,"Baxter, Mr. Quigg Edmond",0,24.0,0,1,PC 17558,247.5208,B58 B60,C,2,123.7604,Mr,1,1,B,59,1,1,1,0.667
120,0,3,"Andersson, Miss. Ellis Anna Maria",1,2.0,4,2,347082,31.275,,S,7,4.4678571428571425,Miss,6,0,,,,4,4,
121,0,2,"Hickman, Mr. Stanley George",0,21.0,2,0,S.O.C. 14879,73.5,,S,5,14.7,Mr,2,0,,,,3,3,
122,0,3,"Moore, Mr. Leonard Charles",0,30.407091360383024,0,0,A4. 54510,8.05,,S,1,8.05,Mr,0,0,,,,4,4,
123,0,2,"Nasser, Mr. Nicholas",0,32.5,1,0,237736,30.0708,,C,2,15.0354,Mr,1,0,,,,3,3,
124,1,2,"Webber, Miss. Susan",1,32.5,0,0,27267,13.0,E101,S,1,13.0,Miss,0,1,E,101,4,4,4,1.0
125,0,1,"White, Mr. Percival Wayland",0,54.0,0,1,35281,77.2875,D26,S,2,38.64375,Mr,1,1,D,26,3,3,3,0.333
126,1,3,"Nicola-Yarred, Master. Elias",0,12.0,1,0,2651,11.2417,,C,2,5.62085,Master,1,0,,,,4,4,
127,0,3,"McMahon, Mr. Martin",0,42.06354456654457,0,0,370372,7.75,,Q,1,7.75,Mr,0,0,,,,4,4,
128,1,3,"Madsen, Mr. Fridtjof Arne",0,24.0,0,0,C 17369,7.1417,,S,1,7.1417,Mr,0,0,,,,4,4,
129,1,3,"Peter, Miss. Anna",1,6.28,1,1,2668,22.3583,F E69,C,2,11.17915,Miss,2,0,EF,69,,4,4,0.833
130,0,3,"Ekstrom, Mr. Johan",0,45.0,0,0,347061,6.975,,S,1,6.975,Mr,0,0,,,,4,4,
131,0,3,"Drazenoic, Mr. Jozef",0,33.0,0,0,349241,7.8958,,C,1,7.8958,Mr,0,0,,,,4,4,
132,0,3,"Coelho, Mr. Domingos Fernandeo",0,20.0,0,0,SOTON/O.Q. 3101307,7.05,,S,1,7.05,Mr,0,0,,,,4,4,
133,0,3,"Robins, Mrs. Alexander A (Grace Charity Laury)",1,47.0,1,0,A/5. 3337,14.5,,S,1,14.5,Mrs,1,0,,,,3,3,
134,1,2,"Weisz, Mrs. Leopold (Mathilde Francoise Pede)",1,29.0,1,0,228414,26.0,,S,1,26.0,Mrs,1,0,,,,2,2,
135,0,2,"Sobey, Mr. Samuel James Hayden",0,25.0,0,0,C.A. 29178,13.0,,S,1,13.0,Mr,0,0,,,,3,3,
136,0,2,"Richard, Mr. Emile",0,23.0,0,0,SC/PARIS 2133,15.0458,,C,1,15.0458,Mr,0,0,,,,3,3,
137,1,1,"Newsom, Miss. Helen Monypeny",1,19.0,0,2,11752,26.2833,D47,S,1,26.2833,Miss,2,1,D,47,3,3,3,0.667
138,0,1,"Futrelle, Mr. Jacques Heath",0,37.0,1,0,113803,53.1,C123,S,2,26.55,Mr,1,1,C,123,2,2,2,1.0
139,0,3,"Osen, Mr. Olaf Elon",0,16.0,0,0,7534,9.2167,,S,2,4.60835,Mr,0,0,,,,4,4,
140,0,1,"Giglio, Mr. Victor",0,24.0,0,0,PC 17593,79.2,B86,C,2,39.6,Mr,0,1,B,86,1,1,1,0.833
141,0,3,"Boulos, Mrs. Joseph (Sultana)",1,31.963297619047623,0,2,2678,15.2458,,C,2,7.6229,Mrs,2,0,,,,4,4,
142,1,3,"Nysten, Miss. Anna Sofia",1,22.0,0,0,347081,7.75,,S,1,7.75,Miss,0,0,,,,4,4,
143,1,3,"Hakkarainen, Mrs. Pekka Pietari (Elin Matilda Dolck)",1,24.0,1,0,STON/O2. 3101279,15.85,,S,2,7.925,Mrs,1,0,,,,4,4,
144,0,3,"Burke, Mr. Jeremiah",0,19.0,0,0,365222,6.75,,Q,1,6.75,Mr,0,0,,,,4,4,
145,0,2,"Andrew, Mr. Edgardo Samuel",0,18.0,0,0,231945,11.5,,S,1,11.5,Mr,0,0,,,,4,4,
146,0,2,"Nicholls, Mr. Joseph Charles",0,19.0,1,1,C.A. 33112,36.75,,S,2,18.375,Mr,2,0,,,,3,3,
147,1,3,"Andersson, Mr. August Edvard (""Wennerstrom"")",0,27.0,0,0,350043,7.7958,,S,1,7.7958,Mr,0,0,,,,4,4,
148,0,3,"Ford, Miss. Robina Maggie ""Ruby""",1,9.0,2,2,W./C. 6608,34.375,,S,4,8.59375,Miss,4,0,,,,4,4,
149,0,2,"Navratil, Mr. Michel (""Louis M Hoffman"")",0,36.5,0,2,230080,26.0,F2,S,3,8.666666666666666,Mr,2,1,F,2,,4,4,0.167
150,0,2,"Byles, Rev. Thomas Roussel Davids",0,42.0,0,0,244310,13.0,,S,1,13.0,Rev,0,0,,,,3,3,
151,0,2,"Bateman, Rev. Robert James",0,51.0,0,0,S.O.P. 1166,12.525,,S,1,12.525,Rev,0,0,,,,4,4,
152,1,1,"Pears, Mrs. Thomas (Edith Wearne)",1,22.0,1,0,113776,66.6,C2,S,2,33.3,Mrs,1,1,C,2,2,2,2,0.167
153,0,3,"Meo, Mr. Alfonzo",0,55.5,0,0,A.5. 11206,8.05,,S,1,8.05,Mr,0,0,,,,4,4,
154,0,3,"van Billiard, Mr. Austin Blyler",0,40.5,0,2,A/5. 851,14.5,,S,1,14.5,Mr,2,0,,,,3,3,
155,0,3,"Olsen, Mr. Ole Martin",0,29.890370865245867,0,0,Fa 265302,7.3125,,S,1,7.3125,Mr,0,0,,,,4,4,
156,0,1,"Williams, Mr. Charles Duane",0,51.0,0,1,PC 17597,61.3792,,C,1,61.3792,Mr,1,0,,,,2,2,
157,1,3,"Gilnagh, Miss. Katherine ""Katie""",1,16.0,0,0,35851,7.7333,,Q,1,7.7333,Miss,0,0,,,,4,4,
158,0,3,"Corn, Mr. Harry",0,30.0,0,0,SOTON/OQ 392090,8.05,,S,1,8.05,Mr,0,0,,,,4,4,
159,0,3,"Smiljanic, Mr. Mile",0,25.559393439893437,0,0,315037,8.6625,,S,1,8.6625,Mr,0,0,,,,4,4,
160,0,3,"Sage, Master. Thomas Henry",0,6.171595238095238,8,2,CA. 2343,69.55,,S,7,9.935714285714285,Master,10,0,,,,4,4,
161,0,3,"Cribb, Mr. John Hatfield",0,44.0,0,1,371362,16.1,,S,1,16.1,Mr,1,0,,,,3,3,
162,1,2,"Watt, Mrs. James (Elizabeth ""Bessie"" Inglis Milne)",1,40.0,0,0,C.A. 33595,15.75,,S,1,15.75,Mrs,0,0,,,,3,3,
163,0,3,"Bengtsson, Mr. John Viktor",0,26.0,0,0,347068,7.775,,S,1,7.775,Mr,0,0,,,,4,4,
164,0,3,"Calic, Mr. Jovo",0,17.0,0,0,315093,8.6625,,S,1,8.6625,Mr,0,0,,,,4,4,
165,0,3,"Panula, Master. Eino Viljami",0,1.0,4,1,3101295,39.6875,,S,6,6.614583333333333,Master,5,0,,,,4,4,
166,1,3,"Goldsmith, Master. Frank John William ""Frankie""",0,9.0,0,2,363291,20.525,,S,3,6.841666666666666,Master,2,0,,,,4,4,
167,1,1,"Chibnall, Mrs. (Edith Martha Bowerman)",1,42.26708333333334,0,1,113505,55.0,E33,S,2,27.5,Mrs,1,0,E,33,4,4,4,0.5
168,0,3,"Skoog, Mrs. William (Anna Bernhardina Karlsson)",1,45.0,1,4,347088,27.9,,S,6,4.6499999999999995,Mrs,5,0,,,,4,4,
169,0,1,"Baumann, Mr. John D",0,50.89466666666667,0,0,PC 17318,25.925,,S,1,25.925,Mr,0,0,,,,3,3,
170,0,3,"Ling, Mr. Lee",0,28.0,0,0,1601,56.4958,,S,7,8.070828571428573,Mr,0,0,,,,4,4,
171,0,1,"Van der hoef, Mr. Wyckoff",0,61.0,0,0,111240,33.5,B19,S,1,33.5,Mr,0,1,B,19,1,1,1,0.333
172,0,3,"Rice, Master. Arthur",0,4.0,4,1,382652,29.125,,Q,5,5.825,Master,5,0,,,,4,4,
173,1,3,"Johnson, Miss. Eleanor Ileen",1,1.0,1,1,347742,11.1333,,S,3,3.7111,Miss,2,0,,,,4,4,
174,0,3,"Sivola, Mr. Antti Wilhelm",0,21.0,0,0,STON/O 2. 3101280,7.925,,S,1,7.925,Mr,0,0,,,,4,4,
175,0,1,"Smith, Mr. James Clinch",0,56.0,0,0,17764,30.6958,A7,C,1,30.6958,Mr,0,1,A,7,,2,2,0.167
176,0,3,"Klasen, Mr. Klas Albin",0,18.0,1,1,350404,7.8542,,S,1,7.8542,Mr,2,0,,,,4,4,
